num_genes,precision,recall,f1
10,0.3,0.02857142857142857,0.05217391304347825
26,0.11538461538461539,0.02857142857142857,0.045801526717557245
52,0.09615384615384616,0.047619047619047616,0.06369426751592358
105,0.05714285714285714,0.05714285714285714,0.05714285714285714
50,0.1,0.047619047619047616,0.06451612903225806
10,0.2,0.01904761904761905,0.03478260869565218
26,0.07692307692307693,0.01904761904761905,0.03053435114503817
52,0.057692307692307696,0.02857142857142857,0.03821656050955414
105,0.02857142857142857,0.02857142857142857,0.02857142857142857
50,0.06,0.02857142857142857,0.03870967741935484
10,0.0,0.0,0.0
26,0.038461538461538464,0.009523809523809525,0.015267175572519085
52,0.019230769230769232,0.009523809523809525,0.012738853503184714
105,0.009523809523809525,0.009523809523809525,0.009523809523809525
50,0.02,0.009523809523809525,0.012903225806451615
10,0.0,0.0,0.0
26,0.0,0.0,0.0
52,0.019230769230769232,0.009523809523809525,0.012738853503184714
105,0.009523809523809525,0.009523809523809525,0.009523809523809525
50,0.02,0.009523809523809525,0.012903225806451615
10,0.2,0.01904761904761905,0.03478260869565218
26,0.11538461538461539,0.02857142857142857,0.045801526717557245
52,0.057692307692307696,0.02857142857142857,0.03821656050955414
105,0.02857142857142857,0.02857142857142857,0.02857142857142857
50,0.06,0.02857142857142857,0.03870967741935484
